fecha_hora,predict
8322,0
8343,0
8365,0
8390,0
8414,0
8435,0
8456,0
8481,0
8503,0
8526,0
8554,0
8578,0
8600,0
8620,0
8642,0
8665,0
8695,4
8829,4
8854,4
8876,4
8903,4
8925,0
8950,0
8973,0
8999,0
9021,0
9043,0
9064,0
9091,0
9112,0
9133,0
9158,0
9180,0
9209,0
9231,0
9254,0
9275,0
9300,0
9321,0
9342,0
9363,0
9383,0
9411,0
9432,0
9453,0
9474,0
9497,0
9522,0
9542,0
9563,4
9585,4
9610,4
9630,4
9651,4
9671,0
9695,0
9721,4
9743,4
9765,0
9787,0
9811,0
9915,0
9935,0
9955,0
9978,0
9999,0
10025,0
10046,0
10070,4
10091,0
10113,0
10134,0
10155,0
10176,0
10197,0
10220,0
10241,0
10261,0
10281,0
10303,0
10328,0
10350,0
10372,0
10392,0
10413,0
10435,0
10457,0
10480,0
10502,0
10528,0
10549,4
10569,4
10590,4
10611,4
10640,4
10661,4
10685,0
10706,0
10726,0
10746,0
10766,0
10788,0
10811,0
10838,0
10860,0
10883,0
10905,0
10999,0
11021,0
11043,0
11065,0
11088,0
11109,0
11131,0
11153,0
11174,0
11197,0
11221,0
11244,0
11265,0
11288,0
11310,0
11333,0
11358,0
11381,0
11402,0
11425,0
11453,0
11474,0
11497,4
11519,4
11542,4
11567,4
11589,4
11612,4
11634,4
11657,0
11679,0
11702,0
11723,0
11750,0
11771,0
11792,0
11816,0
11839,0
11863,0
11883,0
11903,0
11927,0
11950,0
11975,0
11996,0
12089,0
12112,0
12133,0
12154,0
12175,0
12197,0
12220,0
12242,0
12262,0
12284,0
12305,0
12328,0
12350,0
12380,0
12402,0
12426,0
12449,4
12472,4
12492,4
12512,4
12532,4
12552,4
12574,4
12595,0
12617,0
12640,0
12663,0
12687,0
12710,0
12734,0
12757,0
12782,0
12805,0
12828,0
12849,0
12871,0
12891,0
12912,0
12931,0
12951,0
12973,0
12994,0
13015,0
13040,0
13063,0
13087,0
13195,0
13217,0
13238,0
13260,0
13286,0
13307,0
13329,0
13352,0
13375,0
13399,0
13421,0
13444,0
13467,4
13490,4
13512,4
13534,4
13559,4
13580,4
13603,4
13624,4
13648,4
13670,0
13696,0
13717,0
13738,0
13761,0
13784,0
13809,0
13830,0
13854,0
13875,0
13899,0
13922,0
13946,0
13971,0
13993,0
14019,0
14038,0
14062,0
14082,0
14105,0
14126,0
14147,0
14171,0
14194,0
14300,0
14323,0
14345,0
14368,0
14390,0
14412,0
14434,4
14453,4
14475,4
14497,4
14521,4
14542,4
14563,0
14585,0
14606,0
14631,0
14650,0
14671,0
14691,0
14712,0
14733,0
14753,0
14775,0
14797,0
14821,0
14843,0
14863,0
14885,0
14906,0
14928,0
14949,0
14971,0
14995,0
15019,0
15042,0
15063,0
15083,0
15105,0
15127,0
15150,0
15170,0
15192,0
15213,0
15241,0
15262,0
15283,0
15389,0
15411,0
15439,0
15460,0
15481,0
15507,0
15529,0
15552,4
15574,0
15597,0
15618,0
15642,0
15662,0
15682,0
15703,0
15725,0
15749,0
15770,0
15792,0
15813,0
15834,0
15859,0
15881,0
15904,0
15925,0
15950,0
15970,0
15990,0
16012,0
