fecha_hora,ax,ay,az,gx,gy,gz,hay_paso
1640,-2.9375,3.90625,-7.044921875,104.61026,67.89324951,-55.9805069,0
1660,-1.826171875,5.11328125,-7.970703125,99.63315582,54.97722244,21.48514175,0
1681,-0.93359375,4.71875,-8.314453125,72.96140289,27.26729774,85.85155487,0
1703,-0.642578125,4.88671875,-9.0390625,86.3201828,8.274931908,44.92025757,0
1728,-0.5390625,3.603515625,-8.228515625,69.83163452,6.137526989,68.20270538,0
1750,-1.50390625,4.546875,-7.67578125,37.9537735,15.11462593,122.0195007,0
1771,-2.3515625,5.341796875,-7.291015625,20.57972717,18.93141937,61.21033478,0
1791,-2.287109375,4.451171875,-6.537109375,21.3125515,25.93905449,-3.140810966,0
1818,-2.49609375,4.009765625,-6.189453125,17.60262871,41.66424561,2.553845406,0
1842,-3.25,4.419921875,-6.1640625,14.65606213,32.99248886,-8.698062897,0
1863,-3.51953125,4.0859375,-5.64453125,10.2438488,11.02302265,-39.94997025,0
1886,-3.8515625,3.76953125,-4.693359375,-4.015692711,-3.709801197,-56.54539108,0
1907,-4.025390625,3.859375,-3.828125,-25.98515701,-9.526595116,-82.30110931,0
1932,-5.068359375,3.16796875,-4.279296875,-42.30576706,-31.89300919,-129.7209625,0
1953,-3.759765625,2.7578125,-3.330078125,-53.72561646,-64.82430267,-155.2171478,0
1975,-1.9765625,2.904296875,-2.716796875,-54.07675934,-56.19835281,-149.4614258,0
1999,-3.6171875,2.7578125,-4.61328125,-60.96225357,-59.58766556,-95.32401276,0
2020,-4.017578125,3.24609375,-4.095703125,-94.80958557,-70.41209412,-28.71332932,0
2048,-3.6875,3.630859375,-3.3359375,-122.1530991,-67.05331421,-44.14844513,0
2192,-3.064453125,5.5078125,-3.6015625,-124.4889832,-108.5952988,30.61491394,0
2215,-2.87890625,4.85546875,-3.77734375,-121.2065353,-110.5800323,39.95842361,0
2240,-2.7109375,4.177734375,-3.48046875,-124.3210449,-102.2899551,68.75231934,0
2262,-2.662109375,3.9453125,-3.458984375,-118.2447052,-81.70980072,70.61491394,0
2285,-2.92578125,3.751953125,-2.953125,-104.7790527,-52.6258316,56.81338501,0
2306,-3.107421875,3.525390625,-3.056640625,-87.19126892,-30.83957291,31.37827301,0
2328,-2.923828125,3.40234375,-2.517578125,-71.09966278,-7.969343185,7.393540382,0
2354,-2.30078125,3.7578125,-3.404296875,-53.06912613,26.32073212,3.515677452,0
2375,-1.9453125,4.404296875,-4.416015625,-10.67218208,52.83981705,1.149265289,0
2396,-1.310546875,4.736328125,-4.783203125,28.97667503,65.55737305,2.065295696,0
2418,-0.607421875,4.18359375,-4.037109375,64.77819824,88.91615295,4.61491394,0
2438,0.42578125,1.423828125,-2.888671875,126.1217117,120.7329483,10.92025757,0
2458,0.986328125,-2.744140625,-0.4375,272.2743835,183.4810486,10.75231934,0
2477,1.033203125,-1.896484375,-0.748046875,474.2438354,279.1298828,-26.43852234,1
2499,-8.49609375,5.052734375,-6.14453125,503.984314,409.8474426,-38.66753006,1
2520,-6.73828125,15.99951172,-16,-466.9927979,-124.0304108,504.0347595,1
2545,-5.54296875,-1.166015625,-1.513671875,53.43468857,1.358900905,-167.8736267,1
2566,-3.908203125,3.08984375,-7.822265625,161.5415497,40.1680603,174.9965973,1
2588,-6.078125,7.212890625,-3.99609375,108.9614029,111.114624,156.8439178,1
2611,-3.962890625,6.064453125,-6.373046875,153.2209473,90.671875,-38.65226364,1
2633,-2.779296875,5.5,-8.796875,125.480484,80.79401398,-44.82020187,1
2660,-1.466796875,3.64453125,-9.634765625,127.7705612,46.54973984,-11.47668839,1
2681,-0.46484375,3.86328125,-8.80859375,124.4575882,34.68714523,7.576745987,0
2704,-0.12890625,3.6484375,-8.3359375,124.7476654,37.0993576,0.446975231,0
2727,-0.80078125,3.54296875,-7.89453125,92.97666931,30.82455063,78.09583282,0
2752,-1.90625,5.08984375,-7.01953125,48.90033722,17.32836723,69.89736176,0
2774,-1.96875,4.21484375,-6.32421875,26.56446075,5.023023129,2.340105057,0
2796,-1.767578125,2.810546875,-5.16015625,3.037742138,-1.999877691,4.93552494,0
2819,-2.197265625,2.7734375,-4.353515625,-29.80195236,-2.137282372,34.05002975,0
2840,-2.931640625,2.732421875,-3.533203125,-54.96225739,-14.88537407,14.26376915,0
2863,-3.52734375,2.93359375,-3.45703125,-66.67218781,-35.3433876,-53.81256866,0
2883,-4.51953125,2.37109375,-3.70703125,-73.37447357,-56.06094742,-90.02630615,0
2903,-4.52734375,2.70703125,-4.052734375,-83.35920715,-80.80903625,-112.7896652,0
2924,-2.951171875,3.05078125,-3.064453125,-98.25997162,-97.8319397,-117.5224838,0
2944,-2.853515625,3.06640625,-4.23828125,-104.6874542,-88.61056519,-79.2171402,0
2965,-3.712890625,3.06640625,-5.375,-116.0309601,-88.18308258,-35.81256866,0
2985,-3.759765625,3.384765625,-4.943359375,-152.9317322,-95.55712891,6.111097336,0
3006,-3.5625,3.923828125,-4.21875,-176.3515778,-89.6945343,5.77521944,0
3027,-4.109375,3.96484375,-4.57421875,-182.8553925,-93.86247253,0.874456167,0
3049,-3.580078125,4.71484375,-4.177734375,-189.1607361,-88.71743774,-2.026307106,0
3073,-3.08984375,5.140625,-3.546875,-206.4737091,-76.28995514,22.03476143,0
3095,-3.072265625,5.955078125,-3.79296875,-196.9775238,-65.16018677,29.14926529,0
3116,-3.193359375,6.34765625,-4.28125,-170.946991,-68.47315979,10.34010506,0
3136,-2.841796875,5.388671875,-3.98828125,-162.519516,-72.71743774,4.645448685,0
3161,-2.263671875,3.919921875,-3.130859375,-168.7485199,-70.30522156,35.60728073,0
3182,-2.28125,3.375,-2.486328125,-164.4889832,-60.27468872,54.12636566,0
3293,-2.384765625,4.25390625,-2.712890625,-9.389739037,2.366534472,-6.804933071,0
3318,-1.26953125,3.984375,-3.458984375,57.35835266,14.42760277,-18.60646057,0
3341,-0.869140625,2.783203125,-2.75,123.4957581,39.08409119,-30.86600113,0
3364,-1.041015625,0.150390625,-2.212890625,226.8087311,72.41233826,-51.88890457,0
3384,-0.22265625,-2.70703125,-0.15625,387.9537659,143.3131104,-76.49958801,0
3404,3.0625,-3.96875,0.48046875,503.984314,300.6108093,-68.51485443,1
3426,-16,15.99951172,-16,-270.0309753,-162.0914764,342.3248291,1
3451,-3.9609375,11.3984375,15.06054688,99.58735657,-76.24415588,-496.4996033,1
3473,-0.73828125,4.67578125,-16,190.4423218,36.48867035,-69.99577332,1
3499,-5.908203125,6.23828125,-2.037109375,159.4499512,136.6718903,119.5920181,1
3526,-4.0078125,6.267578125,-4.01171875,214.0301056,124.9619522,1.759952307,1
3547,-2.75,5.447265625,-8.021484375,217.1598816,120.8703537,-57.1255455,1
3569,-2.353515625,4.84375,-8.208984375,205.3278198,103.1451569,-64.42324829,1
3591,-1.5390625,3.099609375,-9.583984375,160.7171326,54.48867035,20.1568985,1
3612,-0.19921875,3.47265625,-9.08203125,162.3507233,12.88561821,21.25613594,0
3635,0.962890625,2.576171875,-7.84375,162.6560669,37.51157379,16.93552399,0
3659,-0.1171875,2.19140625,-7.888671875,149.2820129,54.13752747,110.4927826,0
3682,-1.208984375,4.341796875,-7.416015625,114.7018585,38.93141937,89.68361664,0
3704,-1.98046875,3.955078125,-6.3984375,60.85453796,34.00012207,41.19506454,0
3730,-2.2421875,3.24609375,-5.623046875,11.3125515,25.38943481,9.653081894,0
3752,-2.33984375,2.552734375,-5.171875,-7.572944641,13.81691647,0.233234644,0
3782,-2.958984375,2.607421875,-4.6640625,-36.73324966,-2.610564709,10.9049902,0
3802,-3.966796875,2.794921875,-4.302734375,-56.74851608,-13.16018295,-18.33165169,0
3823,-5.330078125,2.67578125,-4.271484375,-84.88592529,-43.3433876,-97.18660736,0
3843,-3.900390625,1.77734375,-3.302734375,-114.5500488,-78.45789337,-152.2858429,0
3865,-2.55859375,1.322265625,-4.15625,-124.076767,-82.33575439,-132.1331787,0
3890,-3.41796875,2.1015625,-5.599609375,-132.7943268,-82.04567719,-74.08737183,0
3911,-3.439453125,2.396484375,-5.068359375,-167.6340179,-91.86247253,-31.90417099,0
3933,-3.234375,2.740234375,-4.337890625,-167.9546204,-81.60292816,-41.38508606,0
3956,-3.740234375,3.427734375,-5.009765625,-152.259964,-78.50369263,-41.64462662,0
3978,-3.33203125,3.7578125,-4.6171875,-159.6187439,-64.12201691,-8.362184525,0
4000,-3.3046875,4.861328125,-4.052734375,-180.8706512,-44.07621384,27.40880585,0
4022,-3.3359375,5.87109375,-5.03125,-168.275238,-33.9082756,12.47751045,0
4044,-3.578125,5.8046875,-5.76171875,-150.9775238,-58.06094742,-9.293483734,0
4069,-2.96484375,5.216796875,-5.18359375,-155.1607361,-78.44262695,18.35537148,0
4093,-2.619140625,3.7421875,-4.61328125,-163.5271454,-90.27468872,41.50040817,0
4114,-2.720703125,3.068359375,-3.951171875,-165.4508057,-95.55712891,56.03475952,0
4138,-2.77734375,3.318359375,-2.724609375,-148.3668365,-89.80140686,46.47750854,0
4160,-2.87109375,3.224609375,-2.123046875,-134.1378326,-78.18308258,25.88208961,0
4183,-2.7421875,3.029296875,-1.431640625,-126.1988983,-63.35865784,11.42407417,0
4205,-2.275390625,2.787109375,-1.296875,-112.4737091,-47.9082756,-10.2705822,0
4228,-1.568359375,2.359375,-1.5859375,-82.59584808,-23.67926788,-12.28585052,0
4250,-1.095703125,2.810546875,-3.349609375,-6.580578804,2.671877861,-12.01103973,0
4273,-0.791015625,2.2890625,-4.712890625,98.39651489,14.85508442,-18.17897987,1
4363,0.849609375,-16,-16,1.877436876,-106.3052216,504.0347595,1
4386,-2.916015625,1.796875,-4.111328125,39.58736038,19.20622826,-287.9194641,1
4406,-4.587890625,0.37890625,-7.42578125,183.6178894,46.1680603,132.7828522,1
4426,-6.515625,6.197265625,-1.466796875,129.4957581,129.5421143,178.4011841,1
4448,-3.875,6.306640625,-6.48828125,177.2514801,123.5115738,31.56147766,1
4468,-2.828125,4.44140625,-7.302734375,174.1217041,107.4199677,-61.94997025,1
4496,-2.0390625,4.61328125,-7.53515625,157.5720978,93.75584412,-38.68279648,1
4517,-2.21875,3.271484375,-8.451171875,128.6560669,51.48103714,8.309570313,1
4540,-1.197265625,3.7734375,-7.927734375,127.1751404,0.22912991,8.202699661,1
4561,-1.16796875,4.01171875,-7.3515625,106.8239975,5.877985001,12.44697571,1
4583,-1.21875,3.666015625,-7.529296875,78.1827774,27.61844254,50.81338501,1
4606,-2.080078125,4.73828125,-7.966796875,42.76293182,5.236763477,39.91262436,0
4627,-1.7265625,4.255859375,-7.140625,3.572093248,-9.419725418,1.363005638,0
4648,-1.708984375,3.173828125,-6.73046875,-22.41263962,-8.518961906,-11.04920769,0
4671,-1.59375,2.6328125,-6.443359375,-40.1836319,-13.96934319,-10.86600113,0
4696,-1.30078125,2.37890625,-5.935546875,-43.81721878,-14.32048798,-11.01867294,0
4716,-1.8203125,2.087890625,-5.220703125,-45.38973618,-23.75560379,-15.67516327,0
4736,-2.185546875,1.8828125,-4.015625,-51.05385971,-37.99987793,-27.9805069,0
4755,-2.4609375,2.072265625,-2.9609375,-61.77141953,-48.38155746,-43.35455322,0
4777,-3.1171875,2.197265625,-3.361328125,-69.1760025,-57.02277756,-62.39271927,0
4801,-3.552734375,2.904296875,-3.880859375,-76.65691376,-77.67926788,-92.59118652,0
4820,-2.59765625,2.89453125,-3.59375,-82.51951599,-90.16781616,-103.1102753,0
4842,-2.578125,2.876953125,-4.6953125,-85.19126892,-82.24415588,-54.60646057,0
4862,-3.2109375,3.041015625,-4.513671875,-97.72561646,-67.90827179,-10.07210922,0
4884,-3.75390625,3.458984375,-4.521484375,-114.2905045,-60.56476212,7.454608917,0
4907,-4.080078125,4.078125,-4.33203125,-116.3363037,-63.05331421,-2.743864536,0
4929,-4.044921875,4.32421875,-4.0625,-132.076767,-63.38919067,12.81338692,0
4951,-3.830078125,5.416015625,-3.912109375,-158.076767,-57.78613663,34.92025757,0
4975,-3.69921875,6.388671875,-4.431640625,-168.5653076,-50.44262695,50.52331161,0
4996,-3.447265625,6.828125,-5.17578125,-150.7790527,-55.20598602,35.17980194,0
5018,-3.2421875,6.787109375,-5.166015625,-159.2370758,-62.07621384,44.53857803,0
5039,-3.384765625,5.57421875,-4.494140625,-186.6111145,-68.48842621,68.76758575,0
