fecha_hora,ax,ay,az,gx,gy,gz
10243,-0.8984375,2.0390625,-6.080078125,-100.7790527,-44.9006424,-23.26294899
10265,-0.75390625,2.07421875,-5.61328125,-106.5347824,-38.16781616,-18.92707062
10286,-0.806640625,2.1875,-5.78125,-106.8553925,-29.41972542,-17.88890266
10311,-0.927734375,2.294921875,-6.044921875,-107.8019562,-28.42735863,-8.911804199
10333,-0.734375,2.76171875,-5.87890625,-107.6950836,-16.93117523,-0.194246292
10355,-1,3.04296875,-6.427734375,-102.9775314,-5.95407629,-0.209513426
10376,-1.107421875,3.447265625,-7.009765625,-89.71035004,-1.786137342,-1.659894943
10398,-0.560546875,3.408203125,-6.9453125,-81.77142334,2.061191082,7.790486813
10423,-0.361328125,3.658203125,-6.517578125,-83.1760025,10.53447342,33.74468613
10444,-0.48828125,3.9765625,-5.80078125,-88.04623413,19.16042709,46.21796799
10464,-0.642578125,3.857421875,-5.25,-88.88592529,24.03065681,40.44697571
10489,0.0625,2.705078125,-4.27734375,-67.86302185,22.61080933,31.05766106
10513,1.6875,-2.890625,-0.501953125,80.76293182,66.91615295,3.790486574
10536,0.083984375,-3.80078125,-1.451171875,363.4041443,169.2825775,17.11873055
10559,-9.98828125,15.99951172,-16,-89.1149292,9.20622921,96.85919189
10582,2.234375,-11.375,-5.765625,122.5949936,-145.6639862,-242.8659973
10605,-3.10546875,0.83984375,-10.74609375,17.34308624,30.36653519,154.4011841
10627,-4.8984375,7.306640625,-4.03125,8.21331501,32.00012207,160.2179718
10650,-1.1953125,6.3046875,-5.580078125,21.28201675,29.93905449,-32.10264206
10673,0.572265625,2.9375,-7.16015625,37.75529861,17.67951202,36.98132706
10697,-0.548828125,2.771484375,-7.068359375,40.24385071,4.916152954,140.7217865
10720,-1.853515625,5.47265625,-6.05078125,47.86217117,1.893252015,102.2790375
10745,-2.072265625,4.88671875,-6.673828125,57.72476578,5.710045815,5.77521944
10767,-1.7578125,2.978515625,-6.841796875,65.84690094,10.83981705,10.92025757
10790,-1.49609375,3.77734375,-7.212890625,66.8239975,15.3741684,21.97369194
10814,-1.013671875,3.35546875,-7.05078125,62.70186615,6.48867178,4.446975231
10836,-0.85546875,3.212890625,-6.98046875,53.75529861,-0.412091464,-0.927070618
10857,-0.7734375,3.017578125,-7.224609375,32.94614029,-11.46552658,-7.354551792
10878,-0.2578125,2.177734375,-7.1875,-0.916456461,-18.58003044,2.080563068
10899,-0.072265625,1.859375,-7.259765625,-23.06912804,-18.99224472,18.3706398
10922,-0.263671875,2.23828125,-7.16015625,-26.62637901,-18.39682388,9.271402359
10946,-0.34375,1.998046875,-7.130859375,-16.96225739,-19.63346481,-2.438520908
10967,-0.25390625,2.28125,-7.009765625,-21.25233269,-21.63346481,4.324837685
10988,0.05859375,2.640625,-7.451171875,-27.96989059,-19.14491653,8.14163208
11013,-0.080078125,2.50390625,-7.361328125,-26.82485199,-18.122015,26.78285217
11034,-0.3203125,2.798828125,-6.982421875,-24.93172264,-24.71743584,49.92789078
11060,-0.73828125,3.52734375,-6.52734375,-15.23706722,-24.71743584,54.5080452
11203,-1.302734375,4.025390625,-5.11328125,50.94614029,-38.61056519,25.01185989
11227,-1.8359375,4.30859375,-5.712890625,38.97667313,-32.67163467,47.77521896
11247,-2.244140625,4.287109375,-6.337890625,30.50339127,-37.92354202,38.88972092
11267,-2.16015625,3.8828125,-6.482421875,24.32018471,-40.65636444,17.54621124
