entrenamiento_id,dispositivo_id,fecha_hora,ax,ay,az,mx,my,mz,gx,gy,gz
3,3,40142,-0.99755859375,0.05322265625,-0.0048828125,0.0,0.0,0.0,-0.0105150938034058,-0.0350573062896729,0.0646208524703979
3,4,40147,-1.0087890625,-0.0693359375,-0.0029296875,0.0,0.0,0.0,-0.139755249023438,0.00170862674713135,-0.00556744355708361
3,1,40157,-0.990234375,-0.09814453125,0.0927734375,0.0,0.0,0.0,0.14444625377655,0.0175725817680359,0.117854356765747
3,2,40158,0.10986328125,-0.629638671875,1.173583984375,0.0,0.0,0.0,-98.2882537841797,41.3786697387695,66.233512878418
3,3,40163,-0.99853515625,0.05517578125,-0.001953125,0.0,0.0,0.0,0.0658208131790161,-0.172461926937103,-0.164386808872223
3,4,40168,-1.0087890625,-0.072265625,-0.00341796875,0.0,0.0,0.0,-0.139755249023438,-0.135696053504944,0.177638664841652
3,1,40193,-0.98388671875,-0.09326171875,0.08837890625,0.0,0.0,0.0,-0.0692942142486572,-0.180900692939758,-0.0806188583374023
3,2,40213,0.460205078125,-1.177001953125,0.875,0.0,0.0,0.0,-132.776794433594,0.401569366455078,-24.8962574005127
3,3,40217,-0.99560546875,0.0517578125,-0.00048828125,0.0,0.0,0.0,0.249026894569397,-0.0961260795593262,-0.0575165748596191
3,4,40224,-1.009765625,-0.07080078125,-0.00341796875,0.0,0.0,0.0,-0.0634193420410156,-0.227299094200134,-0.0971704944968224
3,1,40235,-0.994140625,-0.09130859375,0.09521484375,0.0,0.0,0.0,0.0681103467941284,0.0633741170167923,-0.0195502042770386
3,2,40239,-0.406982421875,-0.400390625,1.071044921875,0.0,0.0,0.0,-77.1432113647461,84.6458435058594,116.218246459961
3,3,40243,-0.99853515625,0.05517578125,-0.00537109375,0.0,0.0,0.0,0.21849250793457,-0.187729120254517,-0.0269822180271149
3,4,40249,-1.013671875,-0.0712890625,-0.00830078125,0.0,0.0,0.0,0.104519367218018,0.0627772808074951,0.0249669086188078
3,1,40259,-0.9853515625,-0.095703125,0.08251953125,0.0,0.0,0.0,-0.0998284816741943,-0.0740304589271545,-0.0500845909118652
3,2,40260,-0.46240234375,-0.099609375,0.81298828125,0.0,0.0,0.0,-74.8073348999023,50.8443183898926,54.6457290649414
3,3,40265,-0.99609375,0.05078125,-0.005859375,0.0,0.0,0.0,0.310095548629761,-0.141927599906921,0.0035521388053894
